trafficindexdate,minimum_traffic_index,maximum_traffic_index,average_traffic_index
2016-02-15 00:00:00 +0000 +0000,1,67,30.1660649819494585
2016-02-16 00:00:00 +0000 +0000,2,80,36.3962962962962963
2016-02-17 00:00:00 +0000 +0000,2,76,34.6140350877192982
2016-02-18 00:00:00 +0000 +0000,4,76,37.8466898954703833
2016-02-19 00:00:00 +0000 +0000,2,71,33.7118055555555556
2016-02-20 00:00:00 +0000 +0000,2,58,28.7117437722419929
2016-02-21 00:00:00 +0000 +0000,2,42,20.2070175438596491
2016-02-22 00:00:00 +0000 +0000,1,71,31.2949640287769784
2016-02-23 00:00:00 +0000 +0000,2,74,35.7746478873239437
2016-02-24 00:00:00 +0000 +0000,2,83,39.6829268292682927
2016-02-25 00:00:00 +0000 +0000,11,67,40.2807692307692308
2016-02-26 00:00:00 +0000 +0000,4,72,36.4538745387453875
2016-02-27 00:00:00 +0000 +0000,8,63,34.1573426573426573
2016-02-28 00:00:00 +0000 +0000,1,44,18.7317073170731707
2016-02-29 00:00:00 +0000 +0000,2,71,30.8472222222222222
2016-03-01 00:00:00 +0000 +0000,1,72,34.0522648083623693
2016-03-02 00:00:00 +0000 +0000,4,89,41.5734265734265734
2016-03-03 00:00:00 +0000 +0000,9,74,41.8611111111111111
2016-03-04 00:00:00 +0000 +0000,2,74,38.9268292682926829
2016-03-05 00:00:00 +0000 +0000,8,56,30.2543554006968641
2016-03-06 00:00:00 +0000 +0000,1,51,21.0905923344947735
2016-03-07 00:00:00 +0000 +0000,1,72,31.6597222222222222
2016-03-08 00:00:00 +0000 +0000,2,71,36.2881944444444444
2016-03-09 00:00:00 +0000 +0000,4,71,36.4425087108013937
2016-03-10 00:00:00 +0000 +0000,4,80,40.0243055555555556
2016-03-11 00:00:00 +0000 +0000,6,80,40.6188811188811189
2016-03-12 00:00:00 +0000 +0000,2,67,35.8536585365853659
2016-03-13 00:00:00 +0000 +0000,1,51,20.1916376306620209
2016-03-14 00:00:00 +0000 +0000,6,80,39.1533101045296167
2016-03-15 00:00:00 +0000 +0000,6,90,38.4673913043478261
2016-03-16 00:00:00 +0000 +0000,2,74,35.4703832752613240
2016-03-17 00:00:00 +0000 +0000,4,71,36.2334494773519164
2016-03-18 00:00:00 +0000 +0000,4,81,38.9612676056338028
2016-03-19 00:00:00 +0000 +0000,4,60,27.8055555555555556
2016-03-20 00:00:00 +0000 +0000,1,26,9.0590277777777778
2016-03-21 00:00:00 +0000 +0000,1,67,23.7720588235294118
2016-04-08 00:00:00 +0000 +0000,58,62,59.4285714285714286
2016-04-09 00:00:00 +0000 +0000,31,31,31.0000000000000000
2016-04-10 00:00:00 +0000 +0000,38,58,50.3580246913580247
2016-04-11 00:00:00 +0000 +0000,2,67,35.9812030075187970
2016-04-12 00:00:00 +0000 +0000,2,74,38.7551020408163265
2016-04-13 00:00:00 +0000 +0000,4,90,36.7985865724381625
2016-04-14 00:00:00 +0000 +0000,2,69,37.8745644599303136
2016-04-15 00:00:00 +0000 +0000,2,74,38.4181184668989547
2016-04-16 00:00:00 +0000 +0000,2,69,36.4965034965034965
2016-04-17 00:00:00 +0000 +0000,1,58,26.5574912891986063
2016-04-18 00:00:00 +0000 +0000,1,65,32.0912280701754386
2016-04-19 00:00:00 +0000 +0000,2,67,37.1145833333333333
2016-04-20 00:00:00 +0000 +0000,4,78,40.0176678445229682
2016-04-21 00:00:00 +0000 +0000,8,72,39.3101045296167247
2016-04-22 00:00:00 +0000 +0000,4,80,41.9049295774647887
2016-04-23 00:00:00 +0000 +0000,1,53,25.8472222222222222
2016-04-24 00:00:00 +0000 +0000,1,60,26.6585365853658537
2016-04-25 00:00:00 +0000 +0000,2,69,32.4930555555555556
2016-04-26 00:00:00 +0000 +0000,2,74,38.5749128919860627
2016-04-27 00:00:00 +0000 +0000,2,69,38.8466898954703833
2016-04-28 00:00:00 +0000 +0000,2,76,40.1853146853146853
2016-04-29 00:00:00 +0000 +0000,2,76,38.3090277777777778
2016-04-30 00:00:00 +0000 +0000,4,78,41.4062500000000000
2016-05-01 00:00:00 +0000 +0000,1,42,14.0418118466898955
2016-05-02 00:00:00 +0000 +0000,1,58,29.5804195804195804
2016-05-03 00:00:00 +0000 +0000,4,67,37.2299651567944251
2016-05-04 00:00:00 +0000 +0000,4,65,36.7291666666666667
2016-05-05 00:00:00 +0000 +0000,1,78,38.8041958041958042
2016-05-06 00:00:00 +0000 +0000,4,83,42.2508710801393728
2016-05-07 00:00:00 +0000 +0000,2,74,38.7909407665505226
2016-05-08 00:00:00 +0000 +0000,1,76,34.1438596491228070
2016-05-09 00:00:00 +0000 +0000,1,62,33.4028268551236749
2016-05-10 00:00:00 +0000 +0000,2,67,37.4945454545454545
2016-05-11 00:00:00 +0000 +0000,2,72,37.0381944444444444
2016-05-12 00:00:00 +0000 +0000,2,72,40.4843205574912892
2016-05-13 00:00:00 +0000 +0000,2,78,41.3597122302158273
2016-05-14 00:00:00 +0000 +0000,2,72,38.9337979094076655
2016-05-15 00:00:00 +0000 +0000,1,65,31.2014134275618375
2016-05-16 00:00:00 +0000 +0000,1,63,35.0347222222222222
2016-05-17 00:00:00 +0000 +0000,4,72,39.2962962962962963
2016-05-18 00:00:00 +0000 +0000,2,81,42.0489510489510490
2016-05-19 00:00:00 +0000 +0000,1,33,18.7777777777777778
2016-05-20 00:00:00 +0000 +0000,1,62,28.7042253521126761
2016-05-21 00:00:00 +0000 +0000,1,56,29.2717770034843206
2016-05-22 00:00:00 +0000 +0000,1,47,21.6035087719298246
2016-05-23 00:00:00 +0000 +0000,1,63,30.0139372822299652
2016-05-24 00:00:00 +0000 +0000,4,71,38.6354166666666667
2016-05-25 00:00:00 +0000 +0000,4,72,39.3923611111111111
2016-05-26 00:00:00 +0000 +0000,6,67,38.2125435540069686
2016-05-27 00:00:00 +0000 +0000,2,87,47.3506944444444444
2016-05-28 00:00:00 +0000 +0000,2,74,40.1672473867595819
2016-05-29 00:00:00 +0000 +0000,1,54,28.9128919860627178
2016-05-30 00:00:00 +0000 +0000,2,72,41.5192982456140351
2016-05-31 00:00:00 +0000 +0000,2,76,41.1219512195121951
2016-06-01 00:00:00 +0000 +0000,4,71,38.8923611111111111
2016-06-02 00:00:00 +0000 +0000,4,74,42.1637630662020906
2016-06-03 00:00:00 +0000 +0000,2,90,43.9518518518518519
2016-06-04 00:00:00 +0000 +0000,2,81,40.3472222222222222
2016-06-05 00:00:00 +0000 +0000,1,45,21.0731707317073171
2016-06-06 00:00:00 +0000 +0000,1,65,29.2752613240418118
2016-06-07 00:00:00 +0000 +0000,1,72,35.7377622377622378
2016-06-08 00:00:00 +0000 +0000,1,67,30.7132867132867133
2016-06-09 00:00:00 +0000 +0000,1,65,29.9611307420494700
2016-06-10 00:00:00 +0000 +0000,1,76,32.6840277777777778
2016-06-11 00:00:00 +0000 +0000,1,49,23.2395833333333333
2016-06-12 00:00:00 +0000 +0000,1,35,10.4773519163763066
2016-06-13 00:00:00 +0000 +0000,1,60,28.7638888888888889
2016-06-14 00:00:00 +0000 +0000,1,87,39.5853658536585366
2016-06-15 00:00:00 +0000 +0000,2,72,33.8601398601398601
2016-06-16 00:00:00 +0000 +0000,1,72,35.5157894736842105
2016-06-17 00:00:00 +0000 +0000,1,78,36.1672473867595819
2016-06-18 00:00:00 +0000 +0000,1,62,26.5248226950354610
2016-06-19 00:00:00 +0000 +0000,1,47,15.0520833333333333
2016-06-20 00:00:00 +0000 +0000,2,72,34.4878048780487805
2016-06-21 00:00:00 +0000 +0000,1,69,35.1964912280701754
2016-06-22 00:00:00 +0000 +0000,1,69,34.0731707317073171
2016-06-23 00:00:00 +0000 +0000,1,72,34.1941391941391941
2016-06-24 00:00:00 +0000 +0000,1,80,37.6027874564459930
2016-06-25 00:00:00 +0000 +0000,2,54,27.7638888888888889
2016-06-26 00:00:00 +0000 +0000,1,45,15.1805555555555556
2016-06-27 00:00:00 +0000 +0000,4,65,34.2125435540069686
2016-06-28 00:00:00 +0000 +0000,2,74,39.2299651567944251
2016-06-29 00:00:00 +0000 +0000,2,74,38.1080139372822300
2016-06-30 00:00:00 +0000 +0000,2,90,46.1172161172161172
2016-07-01 00:00:00 +0000 +0000,9,71,33.2760000000000000
2016-07-02 00:00:00 +0000 +0000,4,44,23.4440559440559441
2016-07-03 00:00:00 +0000 +0000,1,29,8.9163763066202091
2016-07-04 00:00:00 +0000 +0000,1,20,6.7132616487455197
2016-07-05 00:00:00 +0000 +0000,1,47,19.7282229965156794
2016-07-06 00:00:00 +0000 +0000,1,33,12.5590277777777778
2016-07-07 00:00:00 +0000 +0000,1,18,7.4236111111111111
2016-07-08 00:00:00 +0000 +0000,1,18,7.1811846689895470
2016-07-09 00:00:00 +0000 +0000,1,17,7.5902777777777778
2016-07-10 00:00:00 +0000 +0000,1,15,6.2222222222222222
2016-07-11 00:00:00 +0000 +0000,1,49,19.9049295774647887
2016-07-12 00:00:00 +0000 +0000,1,58,27.5400696864111498
2016-07-13 00:00:00 +0000 +0000,1,63,31.4250871080139373
2016-07-14 00:00:00 +0000 +0000,1,65,33.0348432055749129
2016-07-15 00:00:00 +0000 +0000,2,72,35.6984732824427481
2016-07-16 00:00:00 +0000 +0000,8,42,22.5747126436781609
2016-07-17 00:00:00 +0000 +0000,1,36,15.7874564459930314
2016-07-18 00:00:00 +0000 +0000,2,69,37.9547038327526132
2016-07-19 00:00:00 +0000 +0000,2,65,33.6097560975609756
2016-07-20 00:00:00 +0000 +0000,2,65,33.5944055944055944
2016-07-21 00:00:00 +0000 +0000,1,63,32.6620209059233449
2016-07-22 00:00:00 +0000 +0000,1,76,35.7929824561403509
2016-07-23 00:00:00 +0000 +0000,1,60,27.8118466898954704
2016-07-24 00:00:00 +0000 +0000,1,31,14.1333333333333333
2016-07-25 00:00:00 +0000 +0000,1,62,29.0766550522648084
2016-07-26 00:00:00 +0000 +0000,2,63,30.7887323943661972
2016-07-27 00:00:00 +0000 +0000,4,74,33.5496453900709220
2016-07-28 00:00:00 +0000 +0000,4,65,34.9473684210526316
2016-07-29 00:00:00 +0000 +0000,2,72,36.3122807017543860
2016-07-30 00:00:00 +0000 +0000,2,60,30.3776223776223776
2016-07-31 00:00:00 +0000 +0000,1,38,16.1859649122807018
2016-08-01 00:00:00 +0000 +0000,4,65,32.9087591240875912
2016-08-02 00:00:00 +0000 +0000,2,72,32.2234042553191489
2016-08-03 00:00:00 +0000 +0000,1,90,34.6363636363636364
2016-08-04 00:00:00 +0000 +0000,1,71,36.3250883392226148
2016-08-05 00:00:00 +0000 +0000,4,78,37.3249097472924188
2016-08-06 00:00:00 +0000 +0000,1,63,29.0244755244755245
2016-08-07 00:00:00 +0000 +0000,1,38,12.5853658536585366
2016-08-08 00:00:00 +0000 +0000,1,62,28.3321799307958478
2016-08-09 00:00:00 +0000 +0000,1,62,29.4817518248175182
2016-08-10 00:00:00 +0000 +0000,1,62,31.9197324414715719
2016-08-11 00:00:00 +0000 +0000,2,71,34.9964412811387900
2016-08-12 00:00:00 +0000 +0000,4,78,38.2891986062717770
2016-08-13 00:00:00 +0000 +0000,6,63,31.0812720848056537
2016-08-14 00:00:00 +0000 +0000,1,36,16.4895833333333333
2016-08-15 00:00:00 +0000 +0000,1,62,31.4720279720279720
2016-08-16 00:00:00 +0000 +0000,1,63,30.0638297872340426
2016-08-17 00:00:00 +0000 +0000,1,90,41.8631578947368421
2016-08-18 00:00:00 +0000 +0000,2,72,38.1494661921708185
2016-08-19 00:00:00 +0000 +0000,1,69,35.6478873239436620
2016-08-20 00:00:00 +0000 +0000,4,60,32.4647887323943662
2016-08-21 00:00:00 +0000 +0000,1,40,19.2350877192982456
2016-08-22 00:00:00 +0000 +0000,1,56,30.9233449477351916
2016-08-23 00:00:00 +0000 +0000,2,67,35.0104529616724739
2016-08-24 00:00:00 +0000 +0000,4,69,37.0996309963099631
2016-08-25 00:00:00 +0000 +0000,9,72,42.0596491228070175
2016-08-26 00:00:00 +0000 +0000,2,76,37.8345070422535211
2016-08-27 00:00:00 +0000 +0000,2,53,26.3902439024390244
2016-08-28 00:00:00 +0000 +0000,1,38,18.1562500000000000
2016-08-29 00:00:00 +0000 +0000,1,56,26.6028368794326241
2016-08-30 00:00:00 +0000 +0000,1,36,15.8715277777777778
2016-08-31 00:00:00 +0000 +0000,1,80,28.5272727272727273
2016-09-01 00:00:00 +0000 +0000,1,65,31.6892857142857143
2016-09-02 00:00:00 +0000 +0000,2,78,35.1649122807017544
2016-09-03 00:00:00 +0000 +0000,1,58,28.3576642335766423
2016-09-04 00:00:00 +0000 +0000,1,42,20.6491228070175439
2016-09-05 00:00:00 +0000 +0000,1,65,32.3992094861660079
2016-09-06 00:00:00 +0000 +0000,1,71,30.9087719298245614
2016-09-07 00:00:00 +0000 +0000,1,69,29.9512195121951220
2016-09-08 00:00:00 +0000 +0000,1,71,36.8526315789473684
2016-09-09 00:00:00 +0000 +0000,1,69,32.0636042402826855
2016-09-10 00:00:00 +0000 +0000,1,40,16.3543859649122807
2016-09-11 00:00:00 +0000 +0000,1,13,4.6805555555555556
2016-09-12 00:00:00 +0000 +0000,1,33,11.1463414634146341
2016-09-13 00:00:00 +0000 +0000,1,47,18.4826388888888889
2016-09-14 00:00:00 +0000 +0000,1,36,14.9477351916376307
2016-09-15 00:00:00 +0000 +0000,1,26,9.8125000000000000
2016-09-16 00:00:00 +0000 +0000,1,26,8.5087108013937282
2016-09-17 00:00:00 +0000 +0000,1,24,10.5416666666666667
2016-09-18 00:00:00 +0000 +0000,1,22,9.3344947735191638
2016-09-19 00:00:00 +0000 +0000,1,60,20.5993031358885017
2016-09-20 00:00:00 +0000 +0000,1,74,32.4548611111111111
2016-09-21 00:00:00 +0000 +0000,2,72,34.8021201413427562
2016-09-22 00:00:00 +0000 +0000,1,74,33.1328671328671329
2016-09-23 00:00:00 +0000 +0000,2,76,36.8923611111111111
2016-09-24 00:00:00 +0000 +0000,1,69,29.8784722222222222
2016-09-25 00:00:00 +0000 +0000,1,53,24.6202090592334495
2016-09-26 00:00:00 +0000 +0000,4,65,30.2604166666666667
2016-09-27 00:00:00 +0000 +0000,1,65,28.6411149825783972
2016-09-28 00:00:00 +0000 +0000,1,63,26.4722222222222222
2016-09-29 00:00:00 +0000 +0000,1,76,27.9520000000000000
2016-09-30 00:00:00 +0000 +0000,1,69,31.3112840466926070
2016-10-01 00:00:00 +0000 +0000,1,63,29.9442508710801394
2016-10-02 00:00:00 +0000 +0000,1,53,23.1881533101045296
2016-10-03 00:00:00 +0000 +0000,1,65,25.4475524475524476
2016-10-04 00:00:00 +0000 +0000,1,60,27.3601398601398601
2016-10-05 00:00:00 +0000 +0000,1,62,29.4520547945205479
2016-10-06 00:00:00 +0000 +0000,1,67,28.4041811846689895
2016-10-07 00:00:00 +0000 +0000,1,71,28.8257839721254355
